Membership No  Date Joined  Active  
    91538      2019-3-23    yes   
    89774      2017-6-14    yes   
    73988      2016-7-22    yes   
    38903      2016-4-2     no    
    72776      2016-7-15    no    
    95056      2016-7-9     yes   
    86956      2019-11-14   no    
    50456      2016-3-6     yes   
    41442      2019-2-19    yes   
    17837      2018-4-19    yes   
    86666      2016-11-18   no    
    46998      2020-7-18    yes   
    95704      2018-11-6    no    
    87690      2017-3-17    yes   
    83978      2016-7-13    yes   
    47816      2017-2-25    no    
    71837      2019-9-25    no    
    99007      2020-12-21   no    
    63522      2019-3-20    yes   
    37055      2015-1-6     no    
