{title: 'Toy Story (1995)', category:'Adventure|Animation|Children|Comedy|Fantasy'},
{title: 'Jumanji (1995)', category:'Adventure|Children|Fantasy'},
{title: 'Grumpier Old Men (1995)', category:'Comedy|Romance'},
{title: 'Waiting to Exhale (1995)', category:'Comedy|Drama|Romance'},
{title: 'Father of the Bride Part II (1995)', category:'Comedy'},
{title: 'Heat (1995)', category:'Action|Crime|Thriller'},
{title: 'Sabrina (1995)', category:'Comedy|Romance'},
{title: 'Tom and Huck (1995)', category:'Adventure|Children'},
{title: 'Sudden Death (1995)', category:'Action'},
{title: 'GoldenEye (1995)', category:'Action|Adventure|Thriller'},
{title: 'American President', category:'Comedy|Drama|Romance'},
{title: 'Dracula', category:'Comedy|Horror'},
{title: 'Balto (1995)', category:'Animation|Children'},
{title: 'Nixon (1995)', category:'Drama'},
{title: 'Cutthroat Island (1995)', category:'Action|Adventure|Romance'},
{title: 'Casino (1995)', category:'Crime|Drama'},
{title: 'Sense and Sensibility (1995)', category:'Comedy|Drama|Romance'},
{title: 'Four Rooms (1995)', category:'Comedy|Drama|Thriller'},
{title: 'Ace Ventura', category:'Comedy'},
{title: 'Money Train (1995)', category:'Action|Comedy|Crime|Drama|Thriller'},
{title: 'Get Shorty (1995)', category:'Action|Comedy|Drama'},
{title: 'Copycat (1995)', category:'Crime|Drama|Horror|Mystery|Thriller'},
{title: 'Assassins (1995)', category:'Action|Crime|Thriller'},
{title: 'Powder (1995)', category:'Drama|Sci'},-Fi
{title: 'Leaving Las Vegas (1995)', category:'Drama|Romance'},
{title: 'Othello (1995)', category:'Drama'},
{title: 'Now and Then (1995)', category:'Drama'},
{title: 'Persuasion (1995)', category:'Drama|Romance'},
{title: 'City of Lost Children', category:'Adventure|Drama|Fantasy|Mystery|Sci'},-Fi
{title: 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', category:'Crime|Drama'},
{title: 'Dangerous Minds (1995)', category:'Drama'},
{title: '12 Monkeys (Twelve Monkeys) (1995)', category:'Sci'},-Fi|Thriller
{title: 'Wings of Courage (1995)', category:'Adventure|IMAX|Romance'},
{title: 'Babe (1995)', category:'Children|Comedy|Drama|Fantasy'},
{title: 'Carrington (1995)', category:'Drama|Romance'},
{title: 'Dead Man Walking (1995)', category:'Crime|Drama'},
{title: 'Across the Sea of Time (1995)', category:'Documentary|IMAX'},
{title: 'It Takes Two (1995)', category:'Comedy'},
{title: 'Clueless (1995)', category:'Comedy|Romance'},
{title: 'Cry', category:'Drama'},
{title: 'Richard III (1995)', category:'Drama|War'},
{title: 'Dead Presidents (1995)', category:'Action|Crime|Drama'},
{title: 'Restoration (1995)', category:'Drama'},
{title: 'Mortal Kombat (1995)', category:'Action|Adventure|Fantasy'},
{title: 'To Die For (1995)', category:'Comedy|Drama|Thriller'},
{title: 'How to Make an American Quilt (1995)', category:'Drama|Romance'},
{title: 'Seven (a.k.a. Se7en) (1995)', category:'Crime|Horror|Mystery|Thriller'},
{title: 'Pocahontas (1995)', category:'Animation|Children|Musical|Romance'},
{title: 'When Night Is Falling (1995)', category:'Drama|Romance'},
{title: 'Usual Suspects', category:'Crime|Mystery|Thriller'},
{title: 'Guardian Angel (1994)', category:'Action|Drama|Thriller'},
{title: 'Mighty Aphrodite (1995)', category:'Comedy|Drama|Romance'},
{title: 'Lamerica (1994)', category:'Adventure|Drama'},
{title: 'Big Green', category:'Children|Comedy'},
{title: 'Georgia (1995)', category:'Drama'},
{title: 'Kids of the Round Table (1995)', category:'Adventure|Children|Fantasy'},
{title: 'Home for the Holidays (1995)', category:'Drama'},
{title: 'Postman', category:'Comedy|Drama|Romance'},
{title: 'Confessional', category:'Drama|Mystery'},
{title: 'Indian in the Cupboard', category:'Adventure|Children|Fantasy'},
{title: 'Eye for an Eye (1996)', category:'Drama|Thriller'},
{title: 'Mr. Holland's Opus (1995)', category:'Drama'},
{title: 'Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)', category:'Comedy|Crime'},
{title: 'Two if by Sea (1996)', category:'Comedy|Romance'},
{title: 'Bio', category:'Comedy'},
{title: 'Lawnmower Man 2', category:'Action|Sci'},-Fi|Thriller
{title: 'Two Bits (1995)', category:'Drama'},
{title: 'French Twist (Gazon maudit) (1995)', category:'Comedy|Romance'},
{title: 'Friday (1995)', category:'Comedy'},
{title: 'From Dusk Till Dawn (1996)', category:'Action|Comedy|Horror|Thriller'},
{title: 'Fair Game (1995)', category:'Action'},
{title: 'Kicking and Screaming (1995)', category:'Comedy|Drama'},
{title: 'Mis', category:'Drama|War'},
{title: 'Bed of Roses (1996)', category:'Drama|Romance'},
{title: 'Big Bully (1996)', category:'Comedy|Drama'},
{title: 'Screamers (1995)', category:'Action|Sci'},-Fi|Thriller
{title: 'Nico Icon (1995)', category:'Documentary'},
{title: 'Crossing Guard', category:'Drama'},
{title: 'Juror', category:'Drama|Thriller'},
{title: 'White Balloon', category:'Children|Drama'},
{title: 'Things to Do in Denver When You're Dead (1995)', category:'Crime|Drama|Romance'},
{title: 'Antonia's Line (Antonia) (1995)', category:'Comedy|Drama'},
{title: 'Once Upon a Time... When We Were Colored (1995)', category:'Drama'},
{title: 'Last Summer in the Hamptons (1995)', category:'Comedy|Drama'},
{title: 'Angels and Insects (1995)', category:'Drama|Romance'},
{title: 'White Squall (1996)', category:'Adventure|Drama'},
{title: 'Dunston Checks In (1996)', category:'Children|Comedy'},
{title: 'Black Sheep (1996)', category:'Comedy'},
{title: 'Nick of Time (1995)', category:'Action|Thriller'},
{title: 'Journey of August King', category:'Drama'},
{title: 'Mary Reilly (1996)', category:'Drama|Horror|Thriller'},
{title: 'Vampire in Brooklyn (1995)', category:'Comedy|Romance'},
{title: 'Beautiful Girls (1996)', category:'Comedy|Drama|Romance'},
{title: 'Broken Arrow (1996)', category:'Action|Adventure|Thriller'},
{title: 'In the Bleak Midwinter (1995)', category:'Comedy|Drama'},
{title: 'Hate (Haine', category:'Drama'},
{title: 'Shopping (1994)', category:'Action|Thriller'},
{title: 'Heidi Fleiss', category:'Documentary'},
{title: 'City Hall (1996)', category:'Drama|Thriller'},
{title: 'Bottle Rocket (1996)', category:'Adventure|Comedy|Crime|Romance'},
{title: 'Mr. Wrong (1996)', category:'Comedy'},
{title: 'Unforgettable (1996)', category:'Mystery|Sci'},-Fi|Thriller
{title: 'Happy Gilmore (1996)', category:'Comedy'},
{title: 'Bridges of Madison County', category:'Drama|Romance'},
{title: 'Nobody Loves Me (Keiner liebt mich) (1994)', category:'Comedy|Drama'},
{title: 'Muppet Treasure Island (1996)', category:'Adventure|Children|Comedy|Musical'},
{title: 'Catwalk (1996)', category:'Documentary'},
{title: 'Headless Body in Topless Bar (1995)', category:'Comedy'},
{title: 'Braveheart (1995)', category:'Action|Drama|War'},
{title: 'Taxi Driver (1976)', category:'Crime|Drama|Thriller'},
{title: 'Rumble in the Bronx (Hont faan kui) (1995)', category:'Action|Adventure|Comedy|Crime'},
{title: 'Before and After (1996)', category:'Drama|Mystery'},
{title: 'Margaret's Museum (1995)', category:'Drama'},
{title: 'Happiness Is in the Field (Bonheur est dans le pr', category:'Comedy'},
{title: 'Anne Frank Remembered (1995)', category:'Documentary'},
{title: 'Young Poisoner's Handbook', category:'Crime|Drama'},
{title: 'If Lucy Fell (1996)', category:'Comedy|Romance'},
{title: 'Steal Big', category:'Comedy'},
{title: 'Race the Sun (1996)', category:'Drama'},
{title: 'Boys of St. Vincent', category:'Drama'},
{title: 'Boomerang (1992)', category:'Comedy|Romance'},
{title: 'Chungking Express (Ch', category:'Drama|Mystery|Romance'},
{title: 'Star Maker', category:'Drama'},
{title: 'Flirting With Disaster (1996)', category:'Comedy'},
{title: 'NeverEnding Story III', category:'Adventure|Children|Fantasy'},
{title: 'Silence of the Palace', category:'Drama'},
{title: 'Jupiter's Wife (1994)', category:'Documentary'},
{title: 'Pie in the Sky (1996)', category:'Comedy|Romance'},
{title: 'Angela (1995)', category:'Drama'},
{title: 'Frankie Starlight (1995)', category:'Drama|Romance'},
{title: 'Jade (1995)', category:'Thriller'},
{title: 'Nueba Yol (1995)', category:'Comedy|Drama'},
{title: 'Sonic Outlaws (1995)', category:'Documentary'},
{title: 'Down Periscope (1996)', category:'Comedy'},
{title: 'From the Journals of Jean Seberg (1995)', category:'Documentary'},
{title: 'Man of the Year (1995)', category:'Documentary'},
{title: 'Neon Bible', category:'Drama'},
{title: 'Target (1995)', category:'Action|Drama'},
{title: 'Up Close and Personal (1996)', category:'Drama|Romance'},
{title: 'Birdcage', category:'Comedy'},
{title: 'Shadows (Cienie) (1988)', category:'Drama'},
{title: 'Gospa (1995)', category:'Drama'},
{title: 'Brothers McMullen', category:'Comedy'},
{title: 'Bad Boys (1995)', category:'Action'},
{title: 'Amazing Panda Adventure', category:'Adventure|Children'},
{title: 'Basketball Diaries', category:'Drama'},
{title: 'Awfully Big Adventure', category:'Drama'},
{title: 'Amateur (1994)', category:'Crime|Drama|Thriller'},
{title: 'Apollo 13 (1995)', category:'Adventure|Drama'},
{title: 'Rob Roy (1995)', category:'Action|Drama|Romance|War'},
{title: 'Addiction', category:'Drama|Horror'},
{title: 'Batman Forever (1995)', category:'Action|Adventure|Comedy|Crime'},
{title: 'Belle de jour (1967)', category:'Drama'},
{title: 'Beyond Rangoon (1995)', category:'Adventure|Drama|War'},
{title: 'Blue in the Face (1995)', category:'Comedy|Drama'},
{title: 'Canadian Bacon (1995)', category:'Comedy|War'},
{title: 'Casper (1995)', category:'Adventure|Children'},
{title: 'Clockers (1995)', category:'Crime|Drama|Mystery'},
{title: 'Congo (1995)', category:'Action|Adventure|Mystery|Sci'},-Fi
{title: 'Crimson Tide (1995)', category:'Drama|Thriller|War'},
{title: 'Crumb (1994)', category:'Documentary'},
{title: 'Desperado (1995)', category:'Action|Romance|Thriller'},
{title: 'Devil in a Blue Dress (1995)', category:'Crime|Film'},-Noir|Mystery|Thriller
{title: 'Die Hard', category:'Action|Crime|Thriller'},
{title: 'Doom Generation', category:'Comedy|Crime|Drama'},
{title: 'Feast of July (1995)', category:'Drama'},
{title: 'First Knight (1995)', category:'Action|Drama|Romance'},
{title: 'Free Willy 2', category:'Adventure|Children|Drama'},
{title: 'Hackers (1995)', category:'Action|Adventure|Crime|Thriller'},
{title: 'Jeffrey (1995)', category:'Comedy|Drama'},
{title: 'Johnny Mnemonic (1995)', category:'Action|Sci'},-Fi|Thriller
{title: 'Judge Dredd (1995)', category:'Action|Crime|Sci'},-Fi
{title: 'Jury Duty (1995)', category:'Comedy'},
{title: 'Kids (1995)', category:'Drama'},
{title: 'Living in Oblivion (1995)', category:'Comedy'},
{title: 'Lord of Illusions (1995)', category:'Horror'},
{title: 'Love & Human Remains (1993)', category:'Comedy|Drama'},
{title: 'Mad Love (1995)', category:'Drama|Romance'},
{title: 'Mallrats (1995)', category:'Comedy'},
{title: 'Mighty Morphin Power Rangers', category:'Action|Children'},
{title: 'Moonlight and Valentino (1995)', category:'Drama|Romance'},
{title: 'Mute Witness (1994)', category:'Comedy|Horror|Thriller'},
{title: 'Nadja (1994)', category:'Drama'},
{title: 'Net', category:'Action|Crime|Thriller'},
{title: 'Nine Months (1995)', category:'Comedy|Romance'},
{title: 'Party Girl (1995)', category:'Comedy'},
{title: 'Prophecy', category:'Fantasy|Horror|Mystery'},
{title: 'Reckless (1995)', category:'Comedy|Fantasy'},
{title: 'Safe (1995)', category:'Thriller'},
{title: 'Scarlet Letter', category:'Drama|Romance'},
{title: 'Show', category:'Documentary'},
{title: 'Showgirls (1995)', category:'Drama'},
{title: 'Smoke (1995)', category:'Comedy|Drama'},
{title: 'Something to Talk About (1995)', category:'Comedy|Drama|Romance'},
{title: 'Species (1995)', category:'Horror|Sci'},-Fi
{title: 'Stars Fell on Henrietta', category:'Drama'},
{title: 'Strange Days (1995)', category:'Action|Crime|Drama|Mystery|Sci'},-Fi|Thriller
{title: 'Umbrellas of Cherbourg', category:'Drama|Musical'},
{title: 'Tie That Binds', category:'Thriller'},
{title: 'Three Wishes (1995)', category:'Drama'},
{title: 'Total Eclipse (1995)', category:'Drama|Romance'},
{title: 'To Wong Foo', category:'Comedy'},
{title: 'Under Siege 2', category:'Action'},
{title: 'Unstrung Heroes (1995)', category:'Comedy|Drama'},
{title: 'Unzipped (1995)', category:'Documentary'},
{title: 'Walk in the Clouds', category:'Drama|Romance'},
{title: 'Waterworld (1995)', category:'Action|Adventure|Sci'},-Fi
{title: 'White Man's Burden (1995)', category:'Drama'},
{title: 'Wild Bill (1995)', category:'Western'},
{title: 'Browning Version', category:'Drama'},
{title: 'Bushwhacked (1995)', category:'Adventure|Comedy|Crime|Mystery'},
{title: 'Burnt by the Sun (Utomlyonnye solntsem) (1994)', category:'Drama'},
{title: 'Before the Rain (Pred dozhdot) (1994)', category:'Drama|War'},
{title: 'Before Sunrise (1995)', category:'Drama|Romance'},
{title: 'Billy Madison (1995)', category:'Comedy'},
{title: 'Babysitter', category:'Drama|Thriller'},
{title: 'Boys on the Side (1995)', category:'Comedy|Drama'},
{title: 'Cure', category:'Drama'},
{title: 'Castle Freak (1995)', category:'Horror'},
{title: 'Circle of Friends (1995)', category:'Drama|Romance'},
{title: 'Clerks (1994)', category:'Comedy'},
{title: 'Don Juan DeMarco (1995)', category:'Comedy|Drama|Romance'},
{title: 'Disclosure (1994)', category:'Drama|Thriller'},
{title: 'Dream Man (1995)', category:'Thriller'},
{title: 'Drop Zone (1994)', category:'Action|Thriller'},
{title: 'Destiny Turns on the Radio (1995)', category:'Comedy'},
{title: 'Death and the Maiden (1994)', category:'Drama|Thriller'},
{title: 'Dolores Claiborne (1995)', category:'Drama|Thriller'},
{title: 'Dumb & Dumber (1994)', category:'Comedy'},
{title: 'Eat Drink Man Woman (Yin shi nan nu) (1994)', category:'Comedy|Drama|Romance'},
{title: 'Exotica (1994)', category:'Drama'},
{title: 'Exit to Eden (1994)', category:'Comedy'},
{title: 'Ed Wood (1994)', category:'Comedy|Drama'},
{title: 'French Kiss (1995)', category:'Action|Comedy|Romance'},
{title: 'Forget Paris (1995)', category:'Comedy|Romance'},
{title: 'Far From Home', category:'Adventure|Children'},
{title: 'Goofy Movie', category:'Animation|Children|Comedy|Romance'},
{title: 'Hideaway (1995)', category:'Thriller'},
{title: 'Fluke (1995)', category:'Children|Drama'},
{title: 'Farinelli', category:'Drama|Musical'},
{title: 'Gordy (1995)', category:'Comedy'},
{title: 'Gumby', category:'Animation|Children'},
{title: 'Glass Shield', category:'Crime|Drama'},
{title: 'Hoop Dreams (1994)', category:'Documentary'},
{title: 'Heavenly Creatures (1994)', category:'Crime|Drama|Fantasy|Romance|Thriller'},
{title: 'Houseguest (1994)', category:'Comedy'},
{title: 'Immortal Beloved (1994)', category:'Drama|Romance'},
{title: 'Heavyweights (a.k.a. Heavy Weights) (1995)', category:'Children|Comedy'},
{title: 'Hunted', category:'Action'},
{title: 'I.Q. (1994)', category:'Comedy|Romance'},
{title: 'Interview with the Vampire', category:'Drama|Horror'},
{title: 'Jefferson in Paris (1995)', category:'Drama'},
{title: 'Jerky Boys', category:'Comedy'},
{title: 'Junior (1994)', category:'Comedy|Sci'},-Fi
{title: 'Just Cause (1995)', category:'Mystery|Thriller'},
{title: 'Kid in King Arthur's Court', category:'Adventure|Children|Comedy|Fantasy|Romance'},
{title: 'Kiss of Death (1995)', category:'Crime|Drama|Thriller'},
{title: 'Star Wars', category:'Action|Adventure|Sci'},-Fi
{title: 'Little Women (1994)', category:'Drama'},
{title: 'Little Princess', category:'Children|Drama'},
{title: 'Ladybird Ladybird (1994)', category:'Drama'},
{title: 'Enfer', category:'Drama'},
{title: 'Like Water for Chocolate (Como agua para chocolate) (1992)', category:'Drama|Romance'},
{title: 'Legends of the Fall (1994)', category:'Drama|Romance|War|Western'},
{title: 'Major Payne (1995)', category:'Comedy'},
{title: 'Little Odessa (1994)', category:'Drama'},
{title: 'My Crazy Life (Mi vida loca) (1993)', category:'Drama'},
{title: 'Love Affair (1994)', category:'Drama|Romance'},
{title: 'Losing Isaiah (1995)', category:'Drama'},
{title: 'Madness of King George', category:'Comedy|Drama'},
{title: 'Frankenstein (Mary Shelley's Frankenstein) (1994)', category:'Drama|Horror'},
{title: 'Man of the House (1995)', category:'Comedy'},
{title: 'Mixed Nuts (1994)', category:'Comedy'},
{title: 'Milk Money (1994)', category:'Comedy|Romance'},
{title: 'Miracle on 34th Street (1994)', category:'Drama'},
{title: 'Miami Rhapsody (1995)', category:'Comedy'},
{title: 'My Family (1995)', category:'Drama'},
{title: 'Murder in the First (1995)', category:'Drama|Thriller'},
{title: 'Nobody's Fool (1994)', category:'Comedy|Drama|Romance'},
{title: 'Nell (1994)', category:'Drama'},
{title: 'New Jersey Drive (1995)', category:'Crime|Drama'},
{title: 'New York Cop (Ny', category:'Action|Crime'},
{title: 'Beyond Bedlam (1993)', category:'Drama|Horror'},
{title: 'Nemesis 2', category:'Action|Sci'},-Fi|Thriller
{title: 'Nina Takes a Lover (1994)', category:'Comedy|Romance'},
{title: 'Natural Born Killers (1994)', category:'Action|Crime|Thriller'},
{title: 'Only You (1994)', category:'Comedy|Romance'},
{title: 'Once Were Warriors (1994)', category:'Crime|Drama'},
{title: 'Poison Ivy II (1996)', category:'Drama|Thriller'},
{title: 'Outbreak (1995)', category:'Action|Drama|Sci'},-Fi|Thriller
{title: 'L', category:'Crime|Drama|Romance|Thriller'},
{title: 'Perez Family', category:'Comedy|Romance'},
{title: 'Pyromaniac's Love Story', category:'Comedy|Romance'},
{title: 'Pulp Fiction (1994)', category:'Comedy|Crime|Drama'},
{title: 'Panther (1995)', category:'Drama'},
{title: 'Pushing Hands (Tui shou) (1992)', category:'Comedy|Drama'},
{title: 'Priest (1994)', category:'Drama'},
{title: 'Quiz Show (1994)', category:'Drama'},
{title: 'Picture Bride (Bijo photo) (1994)', category:'Drama|Romance'},
{title: 'Queen Margot (La Reine Margot) (1994)', category:'Drama|Romance'},
{title: 'Quick and the Dead', category:'Action|Adventure|Western'},
{title: 'Roommates (1995)', category:'Comedy|Drama'},
{title: 'Ready to Wear (Pret', category:'Comedy'},
{title: 'Three Colors', category:'Drama'},
{title: 'Three Colors', category:'Drama'},
{title: 'Three Colors', category:'Comedy|Drama'},
{title: 'Red Firecracker', category:'Drama'},
{title: 'Rent', category:'Comedy'},
{title: 'Relative Fear (1994)', category:'Horror|Thriller'},
{title: 'Stuart Saves His Family (1995)', category:'Comedy'},
{title: 'Swan Princess', category:'Animation|Children'},
{title: 'Secret of Roan Inish', category:'Children|Drama|Fantasy|Mystery'},
{title: 'Specialist', category:'Action|Drama|Thriller'},
{title: 'Stargate (1994)', category:'Action|Adventure|Sci'},-Fi
{title: 'Santa Clause', category:'Comedy|Drama|Fantasy'},
{title: 'Shawshank Redemption', category:'Drama'},
{title: 'Shallow Grave (1994)', category:'Comedy|Drama|Thriller'},
{title: 'Suture (1993)', category:'Film'},-Noir|Thriller
{title: 'Strawberry and Chocolate (Fresa y chocolate) (1993)', category:'Drama'},
{title: 'Swimming with Sharks (1995)', category:'Comedy|Drama'},
{title: 'Sum of Us', category:'Comedy|Drama'},
{title: 'National Lampoon's Senior Trip (1995)', category:'Comedy'},
{title: 'To Live (Huozhe) (1994)', category:'Drama'},
{title: 'Tank Girl (1995)', category:'Action|Comedy|Musical|Sci'},-Fi
{title: 'Tales from the Crypt Presents', category:'Horror|Thriller'},
{title: 'Star Trek', category:'Action|Adventure|Drama|Sci'},-Fi
{title: 'Tales from the Hood (1995)', category:'Action|Crime|Horror'},
{title: 'Tom & Viv (1994)', category:'Drama'},
{title: 'Village of the Damned (1995)', category:'Horror|Sci'},-Fi
{title: 'Tommy Boy (1995)', category:'Comedy'},
{title: 'Vanya on 42nd Street (1994)', category:'Drama'},
{title: 'Underneath (1995)', category:'Mystery|Thriller'},
{title: 'Walking Dead', category:'Drama|War'},
{title: 'What's Eating Gilbert Grape (1993)', category:'Drama'},
{title: 'Virtuosity (1995)', category:'Action|Sci'},-Fi|Thriller
{title: 'While You Were Sleeping (1995)', category:'Comedy|Romance'},
{title: 'War', category:'Adventure|Drama|War'},
{title: 'Double Happiness (1994)', category:'Drama'},
{title: 'Muriel's Wedding (1994)', category:'Comedy'},
{title: 'Baby', category:'Children'},
{title: 'Ace Ventura', category:'Comedy'},
{title: 'Adventures of Priscilla', category:'Comedy|Drama'},
{title: 'Backbeat (1993)', category:'Drama|Musical'},
{title: 'Bitter Moon (1992)', category:'Drama|Film'},-Noir
{title: 'Bullets Over Broadway (1994)', category:'Comedy'},
{title: 'Clear and Present Danger (1994)', category:'Action|Adventure|Thriller'},
{title: 'Client', category:'Drama|Mystery|Thriller'},
{title: 'Corrina', category:'Comedy|Drama|Romance'},
{title: 'Crooklyn (1994)', category:'Comedy'},
{title: 'Crow', category:'Action|Crime|Fantasy|Thriller'},
{title: 'Cobb (1994)', category:'Drama'},
{title: 'Flintstones', category:'Children|Comedy|Fantasy'},
{title: 'Forrest Gump (1994)', category:'Comedy|Drama|Romance|War'},
{title: 'Four Weddings and a Funeral (1994)', category:'Comedy|Romance'},
{title: 'Higher Learning (1995)', category:'Drama'},
{title: 'I Like It Like That (1994)', category:'Comedy|Drama|Romance'},
{title: 'I Love Trouble (1994)', category:'Action|Comedy'},
{title: 'It Could Happen to You (1994)', category:'Comedy|Drama|Romance'},
{title: 'Jungle Book', category:'Adventure|Children|Romance'},
{title: 'Wonderful', category:'Documentary'},
{title: 'Lion King', category:'Adventure|Animation|Children|Drama|Musical'},
{title: 'Little Buddha (1993)', category:'Drama'},
{title: 'Wes Craven's New Nightmare (1994)', category:'Fantasy|Horror'},
{title: 'Mask', category:'Action|Comedy|Crime|Fantasy'},
{title: 'Maverick (1994)', category:'Adventure|Comedy|Western'},
{title: 'Mrs. Parker and the Vicious Circle (1994)', category:'Drama'},
{title: 'Naked Gun 33 1/3', category:'Action|Comedy'},
{title: 'Paper', category:'Comedy|Drama'},
{title: 'Reality Bites (1994)', category:'Comedy|Drama|Romance'},
{title: 'Red Rock West (1992)', category:'Thriller'},
{title: 'Richie Rich (1994)', category:'Children|Comedy'},
{title: 'Safe Passage (1994)', category:'Drama'},
{title: 'River Wild', category:'Action|Thriller'},
{title: 'Speed (1994)', category:'Action|Romance|Thriller'},
{title: 'Speechless (1994)', category:'Comedy|Romance'},
{title: 'Timecop (1994)', category:'Action|Sci'},-Fi|Thriller
{title: 'True Lies (1994)', category:'Action|Adventure|Comedy|Romance|Thriller'},
{title: 'When a Man Loves a Woman (1994)', category:'Drama'},
{title: 'Wolf (1994)', category:'Drama|Horror|Romance|Thriller'},
