Membership No  Date Joined  Active  
    59355      2018-11-6    no    
    64244      2017-4-15    no    
    37711      2016-5-15    no    
    23056      2016-8-17    no    
    22428      2019-10-17   no    
    13515      2018-3-24    no    
    52886      2019-5-1     no    
    34136      2018-4-11    no    
    98081      2020-1-19    no    
    22736      2016-2-1     no    
    23953      2017-2-24    no    
    57926      2016-11-19   no    
    65478      2015-4-15    no    
    41217      2019-7-23    no    
    41214      2017-2-16    no    
    82484      2020-12-15   no    
    68980      2018-6-4     no    
    82050      2015-7-18    no    
