Membership No  Date Joined  Active  
    21886      2019-3-19    no    
    36415      2015-8-12    no    
    95205      2020-2-21    yes   
    21748      2016-11-11   yes   
    92283      2016-3-20    yes   
    24654      2015-3-13    no    
    58280      2017-9-2     no    
    72010      2019-12-25   no    
    97046      2018-1-18    yes   
    99599      2017-3-5     no    
    33279      2015-3-8     no    
    56560      2020-6-1     no    
    65170      2019-12-16   no    
    50504      2017-12-12   yes   
    24261      2015-10-1    yes   
    41293      2016-7-9     no    
    53594      2018-9-5     no    
    37689      2016-12-9    yes   
    55549      2018-10-4    yes   
    86240      2016-11-25   no    
